대여소 아이디,대여소 이름,사용유무,주소(동),상세주소,경도,위도,권역,지오펜스 거리,등록일,수정일
701,보람동 호려울마을 8단지,Y,보람동,세종특별자치시 보람동 777,127.2954371,36.4791728,3,25,2023-11-10 13:12:41,2024-07-01 21:49:25
702,어진동_정부청사인근(6동-1),Y,어진동,세종특별자치시 어진동 560,127.2637754,36.5040239,1,30,2023-11-10 13:16:23,2024-03-24 15:12:27
703,아름동 대법원등기정보센터 앞,Y,아름동,세종특별자치시 아름동 1325,127.2416055,36.5114794,1,25,2023-11-10 13:18:37,2024-05-07 21:27:50
SJ_00001,보람동_세종시청 정문1,Y,보람동,세종특별자치시 보람동 702,127.289038,36.478950,3,35,2018-06-19 19:37:25,2023-11-28 13:38:43
SJ_00002,보람동_시드니하트,Y,보람동,세종특별자치시 보람동 616-1,127.294110,36.484045,3,35,2018-07-09 20:33:41,2021-04-20 13:56:15
SJ_00003,보람동_세종시청 후문,Y,보람동,세종특별자치시 보람동 663,127.288405,36.480258,3,35,2018-06-21 15:44:32,2023-12-11 06:53:55
SJ_00004,보람동_세종시청후문 잔디광장,Y,보람동,세종특별자치시 보람동 626-2,127.289090,36.480842,3,35,2018-06-21 15:49:04,2023-12-11 06:54:08
SJ_00005,보람동_호려울302동 건너편,Y,보람동,세종특별자치시 보람동 664-47,127.281104,36.477518,3,35,2018-06-21 15:51:54,2024-04-01 19:56:39
SJ_00006,보람동_세종교육청,Y,보람동,세종특별자치시 보람동 664-17,127.286182,36.477736,3,30,2018-06-21 15:56:15,2020-12-10 10:24:00
SJ_00007,보람동_세종남부경찰서 건너편,Y,보람동,세종특별자치시 보람동 623-5,127.291883,36.482037,3,35,2018-06-21 15:59:08,2022-02-09 15:29:43
SJ_00008,보람동_새샘315동앞,Y,보람동,세종특별자치시 보람동 617-5,127.294376,36.483899,3,35,2018-07-09 20:35:58,2020-12-10 10:24:00
SJ_00009,보람동_호려울8단지 정문,Y,보람동,세종특별자치시 보람동 686,127.295439,36.478263,3,35,2018-07-09 20:38:15,2020-12-10 10:24:00
SJ_00010,보람동_호려울810동,Y,보람동,세종특별자치시 보람동 635-8,127.297308,36.479951,3,35,2018-07-09 20:39:23,2020-12-15 14:07:14
SJ_00011,소담동_새샘512동 건너편BRT 1,Y,소담동,세종특별자치시 소담동 617,127.3079269,36.4814824,3,35,2018-08-11 11:25:39,2024-07-02 18:54:01
SJ_00012,소담동_새샘216동앞BRT,Y,소담동,세종특별자치시 소담동 32-123,127.297858,36.482487,3,35,2018-07-09 20:43:17,2023-11-28 13:39:40
SJ_00013,소담동_새샘217동앞BRT,Y,소담동,세종특별자치시 소담동 32-127,127.298771,36.483134,3,35,2018-07-09 20:44:04,2020-12-10 10:24:00
SJ_00014,소담동_새샘308동앞BRT,Y,소담동,세종특별자치시 소담동 32-123,127.297934,36.483150,3,35,2018-07-09 20:45:15,2020-12-10 10:24:00
SJ_00015,소담동_새샘307동앞BRT,Y,소담동,세종특별자치시 소담동 32-127,127.298764,36.483792,3,20,2018-07-09 20:46:14,2021-08-12 09:45:42
SJ_00016,소담동_새샘316동앞,Y,소담동,세종특별자치시 소담동 550,127.295300,36.484876,3,35,2018-07-09 20:47:06,2022-08-15 15:52:21
SJ_00017,소담동_새샘316동건너편,Y,소담동,세종특별자치시 소담동 333-1,127.2949574,36.485002,3,15,2018-07-09 20:47:56,2023-04-06 21:55:28
SJ_00018,소담동_새샘301동건너편,Y,소담동,세종특별자치시 소담동 333-6,127.2955006,36.4856544,3,20,2018-07-09 20:48:43,2024-03-14 21:51:53
SJ_00019,다정동_별뜰근린공원,Y,다정동,세종특별자치시 다정동 409,127.235896,36.499667,2,35,2019-07-04 14:22:35,2020-12-10 10:24:00
SJ_00020,소담동_글벗초 건너편,Y,소담동,세종특별자치시 소담동 509-6,127.2966195,36.4873522,3,35,2018-07-09 20:51:58,2023-05-29 14:50:13
