연월,행정동 코드,행정동,사용금액,비율,증감율
2024-11-01,2901011,조치원읍,42963609699 ,8.2,-86.1
2024-11-01,2901033,부강면,10747064390 ,2.1,-85.1
2024-11-01,2901034,금남면,10258862120 ,2,-84
2024-11-01,2901035,장군면,8077034106 ,1.5,-83.6
2024-11-01,2901036,연서면,7110379477 ,1.4,-86.4
2024-11-01,2901037,전의면,11817096353 ,2.3,-82.3
2024-11-01,2901038,전동면,3162686960 ,0.6,-83.6
2024-11-01,2901039,소정면,3270079598 ,0.6,-86.5
2024-11-01,2901040,연기면,4540310855 ,0.9,-85
2024-11-01,2901041,연동면,2512437440 ,0.5,-83.3
2024-11-01,2901056,종촌동,10034225841 ,1.9,-84.7
2024-11-01,2901059,아름동,16921955698 ,3.2,-84
2024-11-01,2901060,고운동,12194547375 ,2.3,-84.3
2024-11-01,2901061,한솔동,16828053647 ,3.2,-84
2024-11-01,2901064,대평동,6671821836 ,1.3,-84.9
2024-11-01,2901066,보람동,11936321129 ,2.3,-83.9
2024-11-01,2901068,다정동,11397342971 ,2.2,-83.9
2024-11-01,2901069,도담동,17290234741 ,3.3,-86.3
2024-11-01,2901069,어진동,242712000000 ,46.3,-85.8
2024-11-01,2901071,소담동,9246400792 ,1.8,-92.9
2024-11-01,2901073,나성동,34956548802 ,6.7,-83.9
2024-11-01,2901073,새롬동,12477827172 ,2.4,-84.2
2024-11-01,2901074,해밀동,6151418445 ,1.2,-79.5
2024-11-01,2901075,반곡동,10963569465 ,2.1,0
2024-12-01,2901011,조치원읍,44046414798 ,8.1,-85.7
2024-12-01,2901033,부강면,10934700702 ,2,-84.8
2024-12-01,2901034,금남면,11233924599 ,2.1,-82.4
2024-12-01,2901035,장군면,8364946439 ,1.5,-83.1
2024-12-01,2901036,연서면,6580884373 ,1.2,-87.4
2024-12-01,2901037,전의면,8615077773 ,1.6,-87.1
2024-12-01,2901038,전동면,2772215881 ,0.5,-85.7
2024-12-01,2901039,소정면,2861104409 ,0.5,-88.2
2024-12-01,2901040,연기면,4228277541 ,0.8,-86.1
2024-12-01,2901041,연동면,2231160679 ,0.4,-85.2
2024-12-01,2901056,종촌동,11587954092 ,2.1,-82.3
2024-12-01,2901059,아름동,19014055578 ,3.5,-82.1
2024-12-01,2901060,고운동,13130513950 ,2.4,-83.1
2024-12-01,2901061,한솔동,15705016778 ,2.9,-85.1
2024-12-01,2901064,대평동,7052606951 ,1.3,-84
2024-12-01,2901066,보람동,13172339073 ,2.4,-82.2
2024-12-01,2901068,다정동,12285549212 ,2.3,-82.6
2024-12-01,2901069,도담동,19568641564 ,3.6,-84.5
2024-12-01,2901069,어진동,254151000000 ,46.7,-85.1
2024-12-01,2901071,소담동,9751974979 ,1.8,-92.5
2024-12-01,2901073,나성동,36800153938 ,6.8,-83.1
2024-12-01,2901073,새롬동,13255163805 ,2.4,-83.2
2024-12-01,2901074,해밀동,5663621261 ,1,-81.1
2024-12-01,2901075,반곡동,11493829337 ,2.1,0
2025-01-01,2901011,조치원읍,41126167701 ,8.6,-86.7
2025-01-01,2901033,부강면,10254010303 ,2.1,-85.8
2025-01-01,2901034,금남면,10010408761 ,2.1,-84.3
2025-01-01,2901035,장군면,7234528582 ,1.5,-85.3
2025-01-01,2901036,연서면,6467022741 ,1.4,-87.6
2025-01-01,2901037,전의면,7174204820 ,1.5,-89.3
2025-01-01,2901038,전동면,2206216289 ,0.5,-88.6
2025-01-01,2901039,소정면,2716303605 ,0.6,-88.8
2025-01-01,2901040,연기면,3331464907 ,0.7,-89
2025-01-01,2901041,연동면,1936404181 ,0.4,-87.1
2025-01-01,2901056,종촌동,10380921963 ,2.2,-84.2
2025-01-01,2901059,아름동,17313504636 ,3.6,-83.7
2025-01-01,2901060,고운동,11970937563 ,2.5,-84.6
2025-01-01,2901061,한솔동,17790939026 ,3.7,-83.1
2025-01-01,2901064,대평동,7110486270 ,1.5,-83.9
2025-01-01,2901066,보람동,11398309721 ,2.4,-84.6
2025-01-01,2901068,다정동,11018916184 ,2.3,-84.4
2025-01-01,2901069,도담동,18412186276 ,3.9,-85.4
2025-01-01,2901069,어진동,208330000000 ,43.6,-87.8
2025-01-01,2901071,소담동,9491670039 ,2,-92.7
2025-01-01,2901073,나성동,33751957327 ,7.1,-84.5
2025-01-01,2901073,새롬동,12952624409 ,2.7,-83.6
2025-01-01,2901074,해밀동,5091182606 ,1.1,-83
2025-01-01,2901075,반곡동,10231963530 ,2.1,0
2025-02-01,2901011,조치원읍,36468384172 ,8,-88.2
2025-02-01,2901033,부강면,9902496245 ,2.2,-86.3
2025-02-01,2901034,금남면,9108907145 ,2,-85.8
2025-02-01,2901035,장군면,6889495085 ,1.5,-86
2025-02-01,2901036,연서면,6066275245 ,1.3,-88.4
2025-02-01,2901037,전의면,6007730235 ,1.3,-91
2025-02-01,2901038,전동면,2425860841 ,0.5,-87.4
2025-02-01,2901039,소정면,2488240057 ,0.5,-89.8
2025-02-01,2901040,연기면,3086535443 ,0.7,-89.8
2025-02-01,2901041,연동면,1888974409 ,0.4,-87.4
2025-02-01,2901056,종촌동,9821997702 ,2.2,-85
2025-02-01,2901059,아름동,14986430695 ,3.3,-85.9
2025-02-01,2901060,고운동,11389813438 ,2.5,-85.3
2025-02-01,2901061,한솔동,13103900086 ,2.9,-87.6
2025-02-01,2901064,대평동,6681033791 ,1.5,-84.9
2025-02-01,2901066,보람동,10777910741 ,2.4,-85.4
2025-02-01,2901068,다정동,10687706099 ,2.3,-84.9
2025-02-01,2901069,도담동,17641286760 ,3.9,-86
2025-02-01,2901069,어진동,206725000000 ,45.3,-87.9
2025-02-01,2901071,소담동,9117585181 ,2,-93
2025-02-01,2901073,나성동,32323419963 ,7.1,-85.1
2025-02-01,2901073,새롬동,12519014134 ,2.7,-84.1
2025-02-01,2901074,해밀동,6077790708 ,1.3,-79.7
2025-02-01,2901075,반곡동,9943758842 ,2.2,0
2025-03-01,2901011,조치원읍,44140741378 ,8.8,-85.7
2025-03-01,2901033,부강면,11062507856 ,2.2,-84.6
2025-03-01,2901034,금남면,10797692507 ,2.2,-83.1
2025-03-01,2901035,장군면,7418504332 ,1.5,-85
2025-03-01,2901036,연서면,7586253170 ,1.5,-85.5
2025-03-01,2901037,전의면,8022231263 ,1.6,-88
2025-03-01,2901038,전동면,2761676350 ,0.6,-85.7
2025-03-01,2901039,소정면,3014551981 ,0.6,-87.6
2025-03-01,2901040,연기면,3267405154 ,0.7,-89.2
2025-03-01,2901041,연동면,2408677277 ,0.5,-84
