노선명,정류장 구분,정류장고유번호,정류장명,정류장 순번,위도,경도
B0(순환) (시청방면),293064221,51122,세종고속시외버스터미널(지하),1,36.4706404,127.273189
B0(순환) (시청방면),293064252,57018,대평동,2,36.472148,127.276445
B0(순환) (시청방면),293064206,51107,보람동.대평동,3,36.4749413,127.2807336
B0(순환) (시청방면),293064210,51111,"시청,시의회,교육청,세무서",4,36.478356,127.288188
B0(순환) (시청방면),293064216,51117,소담동 새샘마을,5,36.4826387,127.2977367
B0(순환) (시청방면),293064253,57019,"법원.검찰청,경찰청",6,36.487095,127.301744
B0(순환) (시청방면),293064255,57021,국책연구단지,7,36.4913263,127.304
B0(순환) (시청방면),293064258,57024,반곡동(수루배마을),8,36.497535,127.310959
B0(순환) (시청방면),293064419,57030,집현동,9,36.497917,127.321985
B0(순환) (시청방면),293064417,57028,산학연클러스터,10,36.500789,127.328331
B0(순환) (시청방면),293064492,64011,다솜동,11,36.5317939,127.3202744
B0(순환) (시청방면),293900055,64109,용호동,12,36.5363568,127.3123309
B0(순환) (시청방면),293014058,31057,누리동,13,36.5341,127.292158
B0(순환) (시청방면),293014026,31053,한별동,14,36.5341,127.27661
B0(순환) (시청방면),293014017,31055,"해밀동,산울동",15,36.52963,127.26478
B0(순환) (시청방면),293064446,52065,세종충남대학교병원,16,36.521617,127.259736
B0(순환) (시청방면),293056002,52009,도담동,17,36.51483,127.25896
B0(순환) (시청방면),293062014,52036,정부세종청사북측,18,36.5050692,127.2615051
B0(순환) (시청방면),293062007,52030,정부세종청사남측,19,36.50173,127.25991
B0(순환) (시청방면),293062004,52018,다정동,20,36.49491,127.25649
B0(순환) (시청방면),293053004,51009,새롬동.나성동,21,36.48771,127.25729
B0(순환) (시청방면),293053009,51049,한솔동,22,36.4810822,127.2617829
B0(순환) (시청방면),293064221,51122,세종고속시외버스터미널(지하),23,36.4706404,127.273189
B0(순환) (청사방면),293064220,51121,세종고속시외버스터미널(지하),1,36.4708162,127.2731717
B0(순환) (청사방면),293053011,51048,한솔동,2,36.48034,127.26243
B0(순환) (청사방면),293053005,51007,"새롬동,나성동(청소년센터)",3,36.48685,127.25785
B0(순환) (청사방면),293054003,51015,다정동,4,36.4939251,127.2563976
B0(순환) (청사방면),293062006,52029,정부세종청사남측,5,36.5008869,127.2596196
B0(순환) (청사방면),293062011,52033,정부세종청사북측,6,36.504176,127.2611617
B0(순환) (청사방면),293056003,52008,도담동,7,36.5140662,127.259188
B0(순환) (청사방면),293064445,52064,세종충남대학교병원,8,36.520517,127.259481
B0(순환) (청사방면),293014014,31056,"해밀동,산울동",9,36.528653,127.2638902
B0(순환) (청사방면),293014025,31054,한별동,10,36.53377,127.27527
B0(순환) (청사방면),293064420,31073,누리동,11,36.533978,127.29214
B0(순환) (청사방면),293900054,64108,용호동,12,36.5365298,127.3113612
B0(순환) (청사방면),293064493,64012,다솜동,13,36.5319645,127.3198216
B0(순환) (청사방면),293064416,57027,산학연클러스터,14,36.501718,127.328826
B0(순환) (청사방면),293064418,57029,집현동,15,36.498135,127.322785
B0(순환) (청사방면),293064257,57023,반곡동(수루배마을),16,36.497739,127.312279
B0(순환) (청사방면),293064261,57025,국책연구단지,17,36.492195,127.304331
B0(순환) (청사방면),293064254,57020,"법원.검찰청,경찰청",18,36.486842,127.301429
B0(순환) (청사방면),293064214,51115,소담동 새샘마을,19,36.4824576,127.2972683
B0(순환) (청사방면),293064211,51112,"시청,시의회,교육청,세무서",20,36.478674,127.288769
B0(순환) (청사방면),293064209,51110,보람동.대평동,21,36.4756055,127.2816359
B0(순환) (청사방면),293064251,57017,대평동,22,36.472267,127.276406
B0(순환) (청사방면),293064220,51121,세종고속시외버스터미널(지하),23,36.4708162,127.2731717
B0(터미널) (시청방면),293055002,51012,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
B0(터미널) (시청방면),293064252,57018,대평동,2,36.472148,127.276445
B0(터미널) (시청방면),293064206,51107,보람동.대평동,3,36.4749413,127.2807336
B0(터미널) (시청방면),293064210,51111,"시청,시의회,교육청,세무서",4,36.478356,127.288188
B0(터미널) (시청방면),293064216,51117,소담동 새샘마을,5,36.4826387,127.2977367
B0(터미널) (시청방면),293064253,57019,"법원.검찰청,경찰청",6,36.487095,127.301744
B0(터미널) (시청방면),293064255,57021,국책연구단지,7,36.4913263,127.304
B0(터미널) (시청방면),293064258,57024,반곡동(수루배마을),8,36.497535,127.310959
B0(터미널) (시청방면),293064419,57030,집현동,9,36.497917,127.321985
B0(터미널) (시청방면),293064417,57028,산학연클러스터,10,36.500789,127.328331
B0(터미널) (시청방면),293064492,64011,다솜동,11,36.5317939,127.3202744
B0(터미널) (시청방면),293900055,64109,용호동,12,36.5363568,127.3123309
B0(터미널) (시청방면),293014058,31057,누리동,13,36.5341,127.292158
B0(터미널) (시청방면),293014026,31053,한별동,14,36.5341,127.27661
B0(터미널) (시청방면),293014017,31055,"해밀동,산울동",15,36.52963,127.26478
B0(터미널) (시청방면),293064446,52065,세종충남대학교병원,16,36.521617,127.259736
B0(터미널) (시청방면),293056002,52009,도담동,17,36.51483,127.25896
B0(터미널) (시청방면),293062014,52036,정부세종청사북측,18,36.5050692,127.2615051
B0(터미널) (시청방면),293062007,52030,정부세종청사남측,19,36.50173,127.25991
B0(터미널) (시청방면),293062004,52018,다정동,20,36.49491,127.25649
B0(터미널) (시청방면),293053004,51009,새롬동.나성동,21,36.48771,127.25729
B0(터미널) (시청방면),293053009,51049,한솔동,22,36.4810822,127.2617829
B0(터미널) (시청방면),293064221,51122,세종고속시외버스터미널(지하),23,36.4706404,127.273189
B0(터미널) (시청방면),293055001,51011,세종고속시외버스터미널(지상),24,36.469265,127.2738136
B0(터미널) (청사방면),293055002,51012,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
B0(터미널) (청사방면),293064220,51121,세종고속시외버스터미널(지하),2,36.4708162,127.2731717
B0(터미널) (청사방면),293053011,51048,한솔동,3,36.48034,127.26243
B0(터미널) (청사방면),293053005,51007,"새롬동,나성동(청소년센터)",4,36.48685,127.25785
B0(터미널) (청사방면),293054003,51015,다정동,5,36.4939251,127.2563976
B0(터미널) (청사방면),293062006,52029,정부세종청사남측,6,36.5008869,127.2596196
B0(터미널) (청사방면),293062011,52033,정부세종청사북측,7,36.504176,127.2611617
B0(터미널) (청사방면),293056003,52008,도담동,8,36.5140662,127.259188
B0(터미널) (청사방면),293064445,52064,세종충남대학교병원,9,36.520517,127.259481
B0(터미널) (청사방면),293014014,31056,"해밀동,산울동",10,36.528653,127.2638902
B0(터미널) (청사방면),293014025,31054,한별동,11,36.53377,127.27527
B0(터미널) (청사방면),293064420,31073,누리동,12,36.533978,127.29214
B0(터미널) (청사방면),293900054,64108,용호동,13,36.5365298,127.3113612
B0(터미널) (청사방면),293064493,64012,다솜동,14,36.5319645,127.3198216
B0(터미널) (청사방면),293064416,57027,산학연클러스터,15,36.501718,127.328826
B0(터미널) (청사방면),293064418,57029,집현동,16,36.498135,127.322785
B0(터미널) (청사방면),293064257,57023,반곡동(수루배마을),17,36.497739,127.312279
B0(터미널) (청사방면),293064261,57025,국책연구단지,18,36.492195,127.304331
B0(터미널) (청사방면),293064254,57020,"법원.검찰청,경찰청",19,36.486842,127.301429
B0(터미널) (청사방면),293064214,51115,소담동 새샘마을,20,36.4824576,127.2972683
B0(터미널) (청사방면),293064211,51112,"시청,시의회,교육청,세무서",21,36.478674,127.288769
B0(터미널) (청사방면),293064209,51110,보람동.대평동,22,36.4756055,127.2816359
B0(터미널) (청사방면),293064251,57017,대평동,23,36.472267,127.276406
B0(터미널) (청사방면),293055001,51011,세종고속시외버스터미널(지상),24,36.469265,127.2738136
B2 (반석역~오송역),186004230,43980,반석역,1,36.39142,127.31514
B2 (반석역~오송역),293055002,51012,세종고속시외버스터미널(지상),2,36.4693014,127.2740033
B2 (반석역~오송역),293064220,51121,세종고속시외버스터미널(지하),3,36.4708162,127.2731717
B2 (반석역~오송역),293053011,51048,한솔동,4,36.48034,127.26243
B2 (반석역~오송역),293053005,51007,"새롬동,나성동(청소년센터)",5,36.48685,127.25785
B2 (반석역~오송역),293054003,51015,다정동,6,36.4939251,127.2563976
B2 (반석역~오송역),293062006,52029,정부세종청사남측,7,36.5008869,127.2596196
B2 (반석역~오송역),293062011,52033,정부세종청사북측,8,36.504176,127.2611617
B2 (반석역~오송역),293056003,52008,도담동,9,36.5140662,127.259188
B2 (반석역~오송역),293064445,52064,세종충남대학교병원,10,36.520517,127.259481
B2 (반석역~오송역),293014014,31056,"해밀동,산울동",11,36.528653,127.2638902
B2 (반석역~오송역),293014025,31054,한별동,12,36.53377,127.27527
B2 (반석역~오송역),293064420,31073,누리동,13,36.533978,127.29214
B2 (반석역~오송역),270054837,1499,오송역종점,14,36.6192124,127.3272959
B2 (세종고속시외버스터미널~오송역),293055002,51012,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
B2 (세종고속시외버스터미널~오송역),293064220,51121,세종고속시외버스터미널(지하),2,36.4708162,127.2731717
B2 (세종고속시외버스터미널~오송역),293053011,51048,한솔동,3,36.48034,127.26243
B2 (세종고속시외버스터미널~오송역),293053005,51007,"새롬동,나성동(청소년센터)",4,36.48685,127.25785
B2 (세종고속시외버스터미널~오송역),293054003,51015,다정동,5,36.4939251,127.2563976
B2 (세종고속시외버스터미널~오송역),293062006,52029,정부세종청사남측,6,36.5008869,127.2596196
B2 (세종고속시외버스터미널~오송역),293062011,52033,정부세종청사북측,7,36.504176,127.2611617
B2 (세종고속시외버스터미널~오송역),293056003,52008,도담동,8,36.5140662,127.259188
B2 (세종고속시외버스터미널~오송역),293064445,52064,세종충남대학교병원,9,36.520517,127.259481
B2 (세종고속시외버스터미널~오송역),293014014,31056,"해밀동,산울동",10,36.528653,127.2638902
B2 (세종고속시외버스터미널~오송역),293014025,31054,한별동,11,36.53377,127.27527
B2 (세종고속시외버스터미널~오송역),293064420,31073,누리동,12,36.533978,127.29214
B2 (세종고속시외버스터미널~오송역),270054837,1499,오송역종점,13,36.6192124,127.3272959
B2 (오송역~반석역),270000635,1434,오송역2.3.4,1,36.619296,127.327214
B2 (오송역~반석역),293014058,31057,누리동,2,36.5341,127.292158
B2 (오송역~반석역),293014026,31053,한별동,3,36.5341,127.27661
B2 (오송역~반석역),293014017,31055,"해밀동,산울동",4,36.52963,127.26478
B2 (오송역~반석역),293064446,52065,세종충남대학교병원,5,36.521617,127.259736
B2 (오송역~반석역),293056002,52009,도담동,6,36.51483,127.25896
B2 (오송역~반석역),293062014,52036,정부세종청사북측,7,36.5050692,127.2615051
B2 (오송역~반석역),293062007,52030,정부세종청사남측,8,36.50173,127.25991
B2 (오송역~반석역),293062004,52018,다정동,9,36.49491,127.25649
B2 (오송역~반석역),293053004,51009,새롬동.나성동,10,36.48771,127.25729
B2 (오송역~반석역),293053009,51049,한솔동,11,36.4810822,127.2617829
B2 (오송역~반석역),293064221,51122,세종고속시외버스터미널(지하),12,36.4706404,127.273189
B2 (오송역~반석역),293055001,51011,세종고속시외버스터미널(지상),13,36.469265,127.2738136
B2 (오송역~반석역),186004229,43970,반석역,14,36.39155,127.31487
B4 (반석역~오송역),186004230,43980,반석역,1,36.39142,127.31514
B4 (반석역~오송역),293055002,51012,세종고속시외버스터미널(지상),2,36.4693014,127.2740033
B4 (반석역~오송역),293064252,57018,대평동,3,36.472148,127.276445
B4 (반석역~오송역),293064206,51107,보람동.대평동,4,36.4749413,127.2807336
B4 (반석역~오송역),293064210,51111,"시청,시의회,교육청,세무서",5,36.478356,127.288188
B4 (반석역~오송역),293064216,51117,소담동 새샘마을,6,36.4826387,127.2977367
B4 (반석역~오송역),293064253,57019,"법원.검찰청,경찰청",7,36.487095,127.301744
B4 (반석역~오송역),293064255,57021,국책연구단지,8,36.4913263,127.304
B4 (반석역~오송역),293064258,57024,반곡동(수루배마을),9,36.497535,127.310959
B4 (반석역~오송역),293064419,57030,집현동,10,36.497917,127.321985
B4 (반석역~오송역),293064417,57028,산학연클러스터,11,36.500789,127.328331
B4 (반석역~오송역),293064492,64011,다솜동,12,36.5317939,127.3202744
B4 (반석역~오송역),293900055,64109,용호동,13,36.5363568,127.3123309
B4 (반석역~오송역),270054837,1499,오송역종점,14,36.6192124,127.3272959
B4 (오송역~반석역),270000635,1434,오송역2.3.4,1,36.619296,127.327214
B4 (오송역~반석역),293900054,64108,용호동,2,36.5365298,127.3113612
B4 (오송역~반석역),293064493,64012,다솜동,3,36.5319645,127.3198216
B4 (오송역~반석역),293064416,57027,산학연클러스터,4,36.501718,127.328826
B4 (오송역~반석역),293064418,57029,집현동,5,36.498135,127.322785
B4 (오송역~반석역),293064257,57023,반곡동(수루배마을),6,36.497739,127.312279
B4 (오송역~반석역),293064261,57025,국책연구단지,7,36.492195,127.304331
B4 (오송역~반석역),293064254,57020,"법원.검찰청,경찰청",8,36.486842,127.301429
B4 (오송역~반석역),293064214,51115,소담동 새샘마을,9,36.4824576,127.2972683
B4 (오송역~반석역),293064211,51112,"시청,시의회,교육청,세무서",10,36.478674,127.288769
B4 (오송역~반석역),293064209,51110,보람동.대평동,11,36.4756055,127.2816359
B4 (오송역~반석역),293064251,57017,대평동,12,36.472267,127.276406
B4 (오송역~반석역),293055001,51011,세종고속시외버스터미널(지상),13,36.469265,127.2738136
B4 (오송역~반석역),186004229,43970,반석역,14,36.39155,127.31487
B5(아름동방면),293055002,51012,세종고속시외버스터미널(지상),1,36.4693014,127.2740033
B5(아름동방면),293064220,51121,세종고속시외버스터미널(지하),2,36.4708162,127.2731717
B5(아름동방면),293053010,51037,한솔동(첫마을),3,36.4812897,127.2618716
B5(아름동방면),293053006,51008,새롬동.나성동,4,36.4868848,127.2579693
B5(아름동방면),293064435,51137,한국산업인력공단(세종지사),5,36.490395,127.256809
B5(아름동방면),293053001,51016,다정동(대성고등학교),6,36.4938489,127.2565765
B5(아름동방면),293062003,52017,어진중학교(한뜰마을4단지),7,36.4989327,127.2549113
B5(아름동방면),293063002,52042,가재마을5단지.가온마을6단지,8,36.4994482,127.2466099
B5(아름동방면),293064144,53039,다빛초등학교(가재마을1단지),9,36.4997313,127.2424127
B5(아름동방면),293064474,53061,종촌초등학교(가재마을3단지),10,36.5038057,127.2413842
B5(아름동방면),293064475,53059,가락마을8단지.가재마을4단지,11,36.5076286,127.2416171
B5(아름동방면),293064204,53048,"시립도서관,대법원등기정보센터",12,36.511388,127.241627
B5(아름동방면),293064476,53057,아름제2중(가락마을20단지),13,36.5166984,127.2418662
B5(아름동방면),293064099,53011,"범지기3,9단지(청소년센터)",14,36.518782,127.2444672
B5(아름동방면),293064101,53013,범지기마을10단지북측,15,36.5189898,127.2489006
B5(아름동방면),293064052,51072,세종충남대병원,16,36.5187208,127.2561613
B5(아름동방면),293056001,52010,도담동(도램마을),17,36.5149714,127.2587943
B5(아름동방면),293064109,52052,"도램마을8,10단지",18,36.5119283,127.2595385
B5(아름동방면),293062016,52001,도램마을9단지,19,36.5084834,127.2624829
B5(아름동방면),293900007,64061,양지고등학교,20,36.5074521,127.268335
B5(아름동방면),293900010,64064,세종소방서,21,36.5061679,127.2722563
B5(아름동방면),293900011,64065,전통문화체험관,22,36.5038919,127.2832104
B5(아름동방면),293900014,64068,세종연구단지(수루배1단지),23,36.4960327,127.3053012
B5(아름동방면),293064400,59030,반곡동(수루배마을),24,36.497338,127.310767
B5(아름동방면),293900041,64095,반곡고등학교,25,36.497378,127.3166309
B5(아름동방면),293064479,57033,집현동,26,36.49804,127.32304
B5(아름동방면),293900016,64070,새나루마을10단지,27,36.4937495,127.3252565
B5(아름동방면),293011069,34066,새나루마을9단지,28,36.4908651,127.3243797
B5(아름동방면),293011067,34013,새나루마을8단지,29,36.4892,127.32362
B5(아름동방면),293011064,34064,새나루마을1단지,30,36.48595,127.32072
B5(아름동방면),293900017,64071,새나루마을1단지(후문),31,36.4840122,127.3174727
B5(아름동방면),293060004,51001,한국개발연구원(KDI),32,36.4825782,127.3074549
B5(아름동방면),293064364,62003,새샘마을6단지,33,36.4852332,127.3036516
